FICHIER :;c:\Users\lauryne.durand\Desktop\MaxpidE_H_Trapeze_I_tachy_1M.eposacq
Date :;24/03/2026
Heure :;16:42:28

DESCRIPTION :
ACQUISITION AXE 1 : MAXPID-E
SOLLICITATION en PROFIL de POSITION avec échelon de 90.0 °.
256 mesures avec période de 8.0 ms


COMMENTAIRE :
MAXPID : Plan Vertical avec 0 Masses (0 gr)
 Sollicitation en PROFIL de POSITION : Echelon de 90.0 °
 PID Position : KP = 5600 | KI = 4800 | KD = 25000
 

MESURES :
Index;Temps;;Entrée Ana. 1;Courant Moteur;
;ms;;mV;mA;
       233;    1864,0;;         5;      -264;
       234;    1872,0;;         4;      -259;
       235;    1880,0;;         5;      -255;
       236;    1888,0;;         4;      -250;
       237;    1896,0;;         4;      -245;
       238;    1904,0;;         5;      -241;
       239;    1912,0;;         4;      -237;
       240;    1920,0;;         4;      -231;
       241;    1928,0;;         5;      -227;
       242;    1936,0;;         4;      -222;
       243;    1944,0;;         5;      -218;
       244;    1952,0;;         5;      -214;
       245;    1960,0;;         4;      -209;
       246;    1968,0;;         5;      -204;
       247;    1976,0;;         5;      -200;
       248;    1984,0;;         6;      -195;
       249;    1992,0;;         5;      -190;
       250;    2000,0;;         5;      -186;
       251;    2008,0;;         4;      -182;
       252;    2016,0;;         5;      -177;
       253;    2024,0;;         3;      -172;
       254;    2032,0;;         5;      -168;
       255;    2040,0;;         4;      -163;

Paramètre AXE :;MAXPID-E
PID AXE :;KP;KI;KD;KV;KA
Position :;5600;4800;25000;0;0
Vitesse :;32700;0;;0;0
Courant :;800;200
Sécurité
Acc. max.:;2147483647;rpm/s
Vit. max.:;68;rpm

